Phase,Category,Item,Owner,Deadline,Status,Module,Risk,Notes
4+ Weeks Out,Guerrilla Planning,"Plan giveaways: what / how many / branded bags",,,,Guerrilla,,
4+ Weeks Out,Booth Planning,Confirm booth location and dimensions,,,,Booth,,
4+ Weeks Out,Booth Planning,"Design booth layout (demo / display / seating)",,,,Booth,,
4+ Weeks Out,Booth Planning,Confirm what venue provides vs what you bring,,,,Booth,,
4+ Weeks Out,Booth Planning,"Confirm show schedule (public / VIP / fashion show)",,,,Booth,,
4+ Weeks Out,Booth Planning,Plan staffing rotation for long days,,,,Booth,,
2-3 Weeks Out,Design & Assets,List ALL print items with sizes and quantities,,,,Core,HIGH,"London: sizes requested day-of, Crystal mid-flight."
2-3 Weeks Out,Design & Assets,"Create asset tracker (item / size / status / file / deadline)",,,,Core,,
2-3 Weeks Out,Design & Assets,Set DESIGN FREEZE date and communicate,,,,Core,HIGH,
2-3 Weeks Out,Design & Assets,Produce all .ai files and upload,Crystal,,,Core,,
2-3 Weeks Out,Design & Assets,Set artwork deadline = printer minus 48 hours,,,,Core,,
2-3 Weeks Out,Design & Assets,Confirm printer and hard deadlines,,,,Core,,
2-3 Weeks Out,Design & Assets,Get sign-off on brand colors/materials ONCE,,,,Core,,
2-3 Weeks Out,Design & Assets,"Prepare signage / photo wall / stickers / labels / posters",,,,Core,,
2-3 Weeks Out,Design & Assets,Prepare digital assets (projector / games / social),,,,Core,,
2-3 Weeks Out,Design & Assets,Social media announcement assets,,,,Core,,
2-3 Weeks Out,Vendors & F&B,"Lock F&B concept: ONE decision-maker / ONE deadline",,,,Core,HIGH,"Miami: popsicle took 6 days, 4 deciders."
2-3 Weeks Out,Vendors & F&B,Document backup F&B plan,,,,Core,,
2-3 Weeks Out,Vendors & F&B,"Confirm vendor / quantity / delivery schedule",,,,Core,,
2-3 Weeks Out,Vendors & F&B,If branded: send artwork with hard deadline,,,,Core,,
2-3 Weeks Out,Vendors & F&B,"Source cold storage (dry ice / coolers)",,,,Core,,
2-3 Weeks Out,Vendors & F&B,"Confirm bar vendor (menu / pricing / payment)",,,,Core,,
2-3 Weeks Out,Vendors & F&B,Confirm furniture/prop rentals and delivery,,,,Core,,
2-3 Weeks Out,Vendors & F&B,Confirm florist and setup time,,,,Core,,
2-3 Weeks Out,Vendors & F&B,Confirm set builder and materials deadline,,,,Core,,
2-3 Weeks Out,Talent & Guests,Confirm talent cast list with roles,,,,Core,,
2-3 Weeks Out,Talent & Guests,"Send creator briefs (expectations / outfits / deliverables)",,,,Core,,
2-3 Weeks Out,Talent & Guests,Confirm travel + accommodation,,,,Core,,"Standard: flights + hotel + $150/day reimbursement."
2-3 Weeks Out,Talent & Guests,Collect flight details and share,,,,Core,,
2-3 Weeks Out,Talent & Guests,Arrange airport transfers,,,,Core,,
2-3 Weeks Out,Talent & Guests,Book celebrity/VIP and confirm requirements,,,,Core,,
2-3 Weeks Out,Talent & Guests,"Build guest tracker (name / RSVP / dietary / +1)",,,,Core,,
2-3 Weeks Out,Talent & Guests,Set capacity and overflow strategy,,,,Core,,
2-3 Weeks Out,Shipping & Product,Confirm product inventory with quantities,,,,Core,,
2-3 Weeks Out,Shipping & Product,Ship products early (1 week buffer minimum),,,,Core,HIGH,Crystal hand-carried 6 suitcases through JFK alone.
2-3 Weeks Out,Shipping & Product,"Confirm delivery address (pallets / forklift / dock)",,,,Core,,
2-3 Weeks Out,Shipping & Product,Track shipments with arrival dates,,,,Core,,
2-3 Weeks Out,Shipping & Product,"Plan gift bags (contents / qty / assembly)",,,,Core,,
2-3 Weeks Out,Partners,Confirm all brand partners,,,,Core,,
2-3 Weeks Out,Partners,"Agree on co-branding (logos / cross-posting)",,,,Core,,
2-3 Weeks Out,Partners,Coordinate collab posts and tags,,,,Core,,
2-3 Weeks Out,Music & Entertainment,Confirm venue allows own music,,,,Entertainment,,Miami: DJ next door = no own music.
2-3 Weeks Out,Music & Entertainment,Create branded playlist (Spotify needs 1-2 weeks),,,,Entertainment,,
2-3 Weeks Out,Music & Entertainment,Source speakers/sound system,,,,Entertainment,,
2-3 Weeks Out,Music & Entertainment,"Plan interactive games / prizes",,,,Entertainment,,
2-3 Weeks Out,Music & Entertainment,Book and brief games master,,,,Entertainment,,
1 Week Out,Production Lock-In,All print jobs in production,,,,Core,,
1 Week Out,Production Lock-In,"All deliveries confirmed (date / time / address)",,,,Core,,
1 Week Out,Production Lock-In,All vendor payments processed,,,,Core,,
1 Week Out,Production Lock-In,Storage unit booked and access confirmed,,,,Core,,
1 Week Out,Production Lock-In,Transport arranged,,,,Core,,
1 Week Out,Production Lock-In,AV/tech setup confirmed,,,,Core,,
1 Week Out,Production Lock-In,Wristbands/tokens ordered,,,,Core,,
1 Week Out,Content Strategy,"Brief ALL content team (deliverables / style / turnaround)",,,,Core,HIGH,"Include: how many edits/day, format, 3 reference examples."
1 Week Out,Content Strategy,"Assign content roles (film / edit / post / DMs)",,,,Core,,
1 Week Out,Content Strategy,Create shot list,,,,Core,,
1 Week Out,Content Strategy,Schedule pre-event hype posts,,,,Core,,
1 Week Out,Content Strategy,Prepare live posting schedule,,,,Core,,
1 Week Out,Content Strategy,Set up RAW + EDITED drives (separate),,,,Core,,
1 Week Out,Content Strategy,Confirm Dione on standby for real-time social,Dione,,,Core,,
1 Week Out,Run Sheet,Create minute-by-minute run sheet,,,,Core,HIGH,London: started 4:30pm day before. Start 7 days out.
1 Week Out,Run Sheet,Create individual call sheets per person,,,,Core,,
1 Week Out,Run Sheet,"Map celebrity/VIP flow (arrival / activities / exit)",,,,Core,,
1 Week Out,Run Sheet,"Plan crowd management (queue / entry / capacity)",,,,Core,,
1 Week Out,Run Sheet,Share run sheet with ALL team and partners,,,,Core,,
1 Week Out,Health & Safety,First aid kit and designated first aider,,,,Core,,
1 Week Out,Health & Safety,Emergency exits identified,,,,Core,,
1 Week Out,Health & Safety,Crowd capacity monitoring plan,,,,Core,,
1 Week Out,Health & Safety,Security for celebrity/VIP,,,,Core,,
1 Week Out,Health & Safety,Emergency contact list,,,,Core,,
1 Week Out,Health & Safety,Weather contingency (outdoor elements),,,,Core,,
1 Week Out,Multi-Day,Map shared vs day-specific assets,,,,Multi-Day,,
1 Week Out,Multi-Day,Plan storage between days,,,,Multi-Day,,
1 Week Out,Multi-Day,Create per-day run sheets,,,,Multi-Day,,
1 Week Out,Multi-Day,Plan team rest schedule,,,,Multi-Day,,
1 Week Out,Multi-Day,Daily standup plan (15 min each morning),,,,Multi-Day,,
48 Hours Out,Asset Verification,All print items collected and verified,,,,Core,,
48 Hours Out,Asset Verification,"Verify colors / sizes / no typos",,,,Core,,
48 Hours Out,Asset Verification,Backup print shop identified,,,,Core,,
48 Hours Out,Asset Verification,All items sorted into labelled boxes,,,,Core,,
48 Hours Out,Logistics Final,All products counted against inventory,,,,Core,,
48 Hours Out,Logistics Final,Gift bags assembled,,,,Core,,
48 Hours Out,Logistics Final,Staff food and drinks arranged,,,,Core,,
48 Hours Out,Logistics Final,All devices charged,,,,Core,,
48 Hours Out,Logistics Final,"Event kit packed (tape / scissors / first aid / extension cords)",,,,Core,,
48 Hours Out,Logistics Final,"First person on-site confirmed (who / time / access)",,,,Core,,
48 Hours Out,Logistics Final,Final guest list with dietary requirements,,,,Core,,
48 Hours Out,Logistics Final,"Print physical copies (guest list / run sheet / contacts)",,,,Core,,
48 Hours Out,Team Comms,"Final brief to ALL team (time / address / dress code)",,,,Core,,
48 Hours Out,Team Comms,Final brief to talent,,,,Core,,
48 Hours Out,Team Comms,All vendor arrival times confirmed,,,,Core,,
48 Hours Out,Team Comms,Emergency contact list shared,,,,Core,,
48 Hours Out,Team Comms,Volunteers confirmed,,,,Core,,
Day Of,Setup,Arrive 2-3 hours before doors,,,,Core,,
Day Of,Setup,Walk floor plan and verify stations,,,,Core,,
Day Of,Setup,"Test all tech (projector / sound / games / WiFi)",,,,Core,,
Day Of,Setup,Set up product displays and demos,,,,Core,,
Day Of,Setup,Set up photo wall / installations,,,,Core,,
Day Of,Setup,Set up F&B station,,,,Core,,
Day Of,Setup,"Set up content station (charging / upload / captions)",,,,Core,,
Day Of,Setup,"10-min team huddle (roles / schedule / escalation)",,,,Core,,
Day Of,Setup,Designate ONE person for real-time approvals,,,,Core,,
Day Of,Setup,Music on and tested,,,,Core,,
Day Of,During Event,"Door management (wristbands / capacity / VIP)",,,,Core,,
Day Of,During Event,F&B monitoring and restocking,,,,Core,,
Day Of,During Event,Content team filming per shot list,,,,Core,,
Day Of,During Event,Social team posting live,,,,Core,,
Day Of,During Event,Talent management (brief 5 min before each slot),,,,Core,,
Day Of,During Event,Product demo stations staffed,,,,Core,,
Day Of,During Event,Monitor social mentions,,,,Core,,
Day Of,During Event,Track expenses (photo every receipt),,,,Core,,
Day Of,Dinner Day-Of,Place name cards and gift bags at seats,,,,Dinner,,
Day Of,Dinner Day-Of,Brief restaurant staff on flow,,,,Dinner,,
Day Of,Dinner Day-Of,Photographer for arrivals / table / speeches,,,,Dinner,,
Day Of,Dinner Day-Of,Guest reception (greet by name),,,,Dinner,,
Day Of,Guerrilla Day-Of,Scout team secures parking spot early,,,,Guerrilla,,
Day Of,Guerrilla Day-Of,Load vehicle with products and signage,,,,Guerrilla,,
Day Of,Guerrilla Day-Of,Videographer capturing reactions,,,,Guerrilla,,
Day Of,Guerrilla Day-Of,Move between locations per schedule,,,,Guerrilla,,
Day Of,Teardown,Confirm teardown roster,,,,Core,,
Day Of,Teardown,Pack ALL branded items,,,,Core,,
Day Of,Teardown,Collect/confirm rented item pickup,,,,Core,,
Day Of,Teardown,Collect ALL raw footage onto shared drive,,,,Core,,
Day Of,Teardown,Quick 5-min team debrief,,,,Core,,
Post-Event,Content (Week 1-2),All raw footage uploaded within 24 hours,,,,Core,,
Post-Event,Content (Week 1-2),"Editor brief sent (priorities / deadlines / references)",,,,Core,HIGH,
Post-Event,Content (Week 1-2),Content rollout calendar (2-4 weeks),,,,Core,,"Crystal: ""Don't throw all eggs in one week."""
Post-Event,Content (Week 1-2),"Priority edits: highlights / reactions / celebrity / BTS",,,,Core,,
Post-Event,Content (Week 1-2),Chase editor daily on status,Dione,,,Core,,
Post-Event,Content (Week 1-2),Quality gate: review ALL edits before posting,,,,Core,,
Post-Event,Content (Week 1-2),"Post-event engagement (thank you / tags / comments)",,,,Core,,
Post-Event,Finance & Admin,Collect ALL invoices and receipts (48hr deadline),,,,Core,,
Post-Event,Finance & Admin,Process talent reimbursements,,,,Core,,
Post-Event,Finance & Admin,Budget reconciliation (actual vs planned),,,,Core,,
Post-Event,Finance & Admin,Return rented items,,,,Core,,
Post-Event,Finance & Admin,Send thank-you notes to partners and VIPs,,,,Core,,
Post-Event,Finance & Admin,Update CRM with new contacts,,,,Core,,
Post-Event,Finance & Admin,Follow up on partnership leads,,,,Core,,
Post-Event,Retrospective,Team debrief meeting within 1 week,,,,Core,,
Post-Event,Retrospective,"Document: what worked / broke / change",,,,Core,,
Post-Event,Retrospective,"Capture metrics (attendance / content / engagement / press)",,,,Core,,
Post-Event,Retrospective,Document vendor performance,,,,Core,,
Post-Event,Retrospective,Update checklist template with new learnings,,,,Core,,
Post-Event,Retrospective,Archive all event assets in shared drive,,,,Core,,
